recency_days,frequency,monetary,avg_review_score,avg_installments,avg_freight,avg_items_per_order,state_freq_encoding,credit_card_usage_ratio,avg_delivery_days
336,1,35.0,5.0,3.0,15.1,1.0,0.0508033633033633,1.0,13.0
478,1,86.15,5.0,1.0,16.25,1.0,0.0549138361638361,1.0,7.0
76,1,63.44,5.0,2.0,18.45,1.0,0.128798285048285,1.0,7.0
457,1,136.98,5.0,3.0,18.08,1.0,0.419320263070263,1.0,8.0
452,1,119.93,5.0,5.0,19.94,1.0,0.034090909090909,1.0,9.0
186,1,224.67,4.0,8.0,20.67,1.0,0.034090909090909,1.0,26.0
135,1,157.36,1.0,8.0,27.46,1.0,0.0136426073926073,1.0,27.0
421,1,88.55,5.0,4.0,13.55,1.0,0.419320263070263,1.0,6.0
57,1,145.98,2.0,4.0,27.98,2.0,0.419320263070263,1.0,2.0
18,1,107.85,5.0,1.0,8.85,1.0,0.419320263070263,1.0,10.0
191,1,143.12,1.0,2.0,18.12,1.0,0.0367236929736929,1.0,37.0
173,1,201.96,5.0,10.0,22.96,1.0,0.1171224608724608,1.0,10.0
142,1,68.22,5.0,1.0,18.23,1.0,0.0549138361638361,0.0,10.0
38,1,274.9,5.0,5.0,24.9,1.0,0.034090909090909,1.0,10.0
162,1,103.98,1.0,5.0,18.48,1.0,0.1171224608724608,1.0,26.0
166,1,67.13,4.0,1.0,18.23,1.0,0.0549138361638361,0.0,25.0
223,1,29.69,3.0,1.0,16.79,1.0,0.0091054778554778,0.0,20.0
381,1,31.75,4.0,1.0,11.85,1.0,0.419320263070263,1.0,9.0
219,1,88.8,5.0,8.0,28.9,1.0,0.419320263070263,1.0,9.0
83,1,135.96,5.0,6.0,7.76,1.0,0.419320263070263,1.0,5.0
202,1,65.0,2.0,4.0,15.1,1.0,0.0367236929736929,1.0,35.0
581,1,279.15,5.0,1.0,19.25,1.0,0.0549138361638361,0.0,20.0
320,3,2400.48,5.0,10.0,66.82666666666667,4.0,0.0549138361638361,1.0,12.0
182,1,74.17,4.0,3.0,15.17,1.0,0.0508033633033633,1.0,6.0
233,1,323.53,5.0,1.0,33.63,1.0,0.419320263070263,0.0,3.0
251,1,206.08,5.0,10.0,17.08,1.0,0.1171224608724608,1.0,15.0
273,1,1333.25,5.0,10.0,134.25,1.0,0.419320263070263,1.0,11.0
570,1,352.29,5.0,1.0,22.39,1.0,0.0508033633033633,1.0,3.0
492,1,67.83,5.0,1.0,24.84,1.0,0.0049325674325674,1.0,10.0
542,1,66.64,3.0,3.0,11.77,1.0,0.419320263070263,1.0,6.0
197,1,138.24,5.0,2.0,38.25,1.0,0.0075445387945387,1.0,21.0
403,1,118.01,1.0,2.0,38.11,1.0,0.0035485347985347,1.0,25.0
19,1,177.59,5.0,2.0,8.6,1.0,0.128798285048285,1.0,6.0
12,1,913.63,5.0,10.0,14.63,1.0,0.128798285048285,1.0,5.0
568,1,35.96,2.0,1.0,10.96,1.0,0.419320263070263,0.0,5.0
265,1,57.55,4.0,1.0,7.78,1.0,0.419320263070263,1.0,6.0
199,1,83.23,5.0,3.0,14.23,1.0,0.0215721778221778,1.0,15.0
238,1,82.98,3.0,1.0,13.08,1.0,0.419320263070263,0.0,5.0
318,1,1471.51,5.0,3.0,34.51,1.0,0.1171224608724608,1.0,11.0
